Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1/29/1993,24.62612799,24.62612799,24.50360994,24.60862541,1003200,29,4,4,1,1993
2/1/1993,24.62612435,24.78364754,24.62612435,24.78364754,480500,1,0,5,2,1993
2/2/1993,24.76615605,24.85366897,24.7136483,24.83616638,201300,2,1,5,2,1993
2/3/1993,24.87116414,25.11620024,24.85366156,25.09869766,529400,3,2,5,2,1993
2/4/1993,25.18622513,25.25623549,24.90618371,25.20372772,531500,4,3,5,2,1993
2/5/1993,25.18620491,25.23871263,25.04618431,25.18620491,492100,5,4,5,2,1993
2/8/1993,25.18620491,25.27371778,25.15119976,25.18620491,596100,8,0,6,2,1993
2/9/1993,25.0986995,25.0986995,24.95867886,25.0111866,122100,9,1,6,2,1993
2/10/1993,25.01117939,25.06368711,24.94116909,25.04618454,379600,10,2,6,2,1993
2/11/1993,25.0811902,25.27371853,25.0811902,25.16870308,19500,11,3,6,2,1993
2/12/1993,25.13369657,25.13369657,24.9761734,24.9761734,42500,12,4,6,2,1993
2/16/1993,24.90616706,24.90616706,24.31107944,24.34608459,374800,16,1,7,2,1993
2/17/1993,24.34608916,24.38109432,24.24107368,24.32858658,210900,17,2,7,2,1993
2/18/1993,24.6086209,24.6086209,23.97852819,24.31107712,378100,18,3,7,2,1993
2/19/1993,24.31107721,24.39859009,24.27607206,24.39859009,34900,19,4,7,2,1993
2/22/1993,24.46859286,24.52110057,24.39858258,24.48609543,513600,22,0,8,2,1993
2/23/1993,24.55611602,24.5736186,24.34608509,24.46860313,373700,23,1,8,2,1993
2/24/1993,24.48610375,24.78364754,24.48610375,24.78364754,26300,24,2,8,2,1993
2/25/1993,24.76615605,24.85366897,24.7136483,24.83616638,44500,25,3,8,2,1993
2/26/1993,24.88865736,24.88865736,24.74863678,24.87115479,66200,26,4,8,2,1993
3/1/1993,24.95866679,24.95866679,24.7661385,24.80114365,66500,1,0,9,3,1993
3/2/1993,24.81865158,25.16870308,24.78364643,25.16870308,182400,2,1,9,3,1993
3/3/1993,25.20369997,25.29121282,25.16869483,25.27371025,280100,3,2,9,3,1993
3/4/1993,25.30873286,25.30873286,25.13370705,25.13370705,89500,4,3,9,3,1993
3/5/1993,25.16869032,25.27370572,25.04617236,25.06367493,40000,5,4,9,3,1993
3/8/1993,25.11619135,25.62376595,25.11619135,25.62376595,50800,8,0,10,3,1993
3/9/1993,25.57127531,25.58877789,25.48376239,25.53627014,169300,9,1,10,3,1993
3/10/1993,25.53625076,25.58875847,25.43123533,25.58875847,194400,10,2,10,3,1993
3/11/1993,25.60626209,25.67627238,25.48374409,25.51874924,70900,11,3,10,3,1993
3/12/1993,25.30874098,25.32624356,25.09870993,25.25623322,643600,12,4,10,3,1993
3/15/1993,25.2387064,25.37872696,25.2387064,25.37872696,310800,15,0,11,3,1993
3/16/1993,25.37872696,25.44873724,25.37872696,25.37872696,30800,16,1,11,3,1993
3/17/1993,25.34373042,25.34373042,25.18620723,25.22121239,21800,17,2,11,3,1993
3/18/1993,25.32621925,25.48374238,25.32621925,25.37872696,59300,18,3,11,3,1993
3/19/1993,25.48101204,25.48101204,25.34033012,25.34033012,66900,19,4,11,3,1993
3/22/1993,25.09413077,25.25239789,25.07654553,25.19964218,183400,22,0,12,3,1993
3/23/1993,25.26999232,25.28757756,25.21723659,25.25240707,55200,23,1,12,3,1993
3/24/1993,25.21723659,25.35791852,25.0941399,25.25240707,37200,24,2,12,3,1993
3/25/1993,25.2699988,25.46343651,25.23482831,25.41068077,110100,25,3,12,3,1993
3/26/1993,25.39308761,25.41067285,25.25240568,25.26999092,101500,26,4,12,3,1993
3/29/1993,25.28757543,25.49859831,25.28757543,25.37550163,87100,29,0,13,3,1993
3/30/1993,25.41066655,25.44583702,25.37549608,25.44583702,56000,30,1,13,3,1993
3/31/1993,25.51618127,25.58652223,25.42825508,25.42825508,111600,31,2,13,3,1993
4/1/1993,25.4634268,25.4634268,25.28757441,25.34033012,129500,1,3,13,4,1993
4/2/1993,25.12929161,25.12929161,24.81275749,24.81275749,59400,2,4,13,4,1993
4/5/1993,25.00621209,25.00621209,24.86553016,24.93587112,172200,5,0,14,4,1993
4/6/1993,24.98863053,24.98863053,24.79519286,24.86553383,129700,6,1,14,4,1993
4/7/1993,24.90068974,24.95344543,24.84793404,24.95344543,28000,7,2,14,4,1993
4/8/1993,25.0589788,25.0589788,24.81278532,24.91829681,180800,8,3,14,4,1993
4/12/1993,25.16447948,25.28757616,25.129309,25.26999092,348500,12,0,15,4,1993
4/13/1993,25.25240151,25.41066865,25.23481627,25.32274246,146100,13,1,15,4,1993
4/14/1993,25.34034196,25.3579272,25.27000096,25.28758621,119600,14,2,15,4,1993
4/15/1993,25.27000096,25.34034196,25.18207473,25.28758621,148600,15,3,15,4,1993
4/16/1993,25.30517146,25.34034196,25.25241572,25.28758621,47900,16,4,15,4,1993
4/19/1993,25.28757358,25.35791454,25.16447691,25.18206215,157000,19,0,16,4,1993
4/20/1993,25.14690336,25.18207386,24.9007099,25.05897713,279500,20,1,16,4,1993
4/21/1993,25.11173236,25.11173236,24.97105039,25.04139137,67900,21,2,16,4,1993
4/22/1993,24.93587837,25.14690132,24.72485542,24.72485542,97700,22,3,16,4,1993
4/23/1993,24.67209089,24.74243185,24.5841647,24.61933517,106000,23,4,16,4,1993
4/26/1993,24.63693779,24.72486405,24.35557376,24.42591476,62600,26,0,17,4,1993
4/27/1993,24.39071591,24.68966484,24.39071591,24.68966484,156800,27,1,17,4,1993
4/28/1993,24.65450999,24.70726571,24.60175426,24.63692474,85900,28,2,17,4,1993
4/29/1993,24.68967973,24.74243546,24.54899779,24.74243546,85000,29,3,17,4,1993
4/30/1993,24.83036269,24.91828891,24.77760696,24.77760696,88500,30,4,17,4,1993
5/3/1993,24.81277444,24.93587112,24.707263,24.93587112,80500,3,0,18,5,1993
5/4/1993,24.9886256,25.11172228,24.95345512,25.02379608,149100,4,1,18,5,1993
5/5/1993,25.02379243,25.18205956,25.02379243,25.09413338,109000,5,2,18,5,1993
5/6/1993,25.05895075,25.07653598,24.98860984,25.00619507,54700,6,3,18,5,1993
5/7/1993,25.02378637,25.02378637,24.91827497,24.95344543,68000,7,4,18,5,1993
5/10/1993,24.98860984,25.1468769,24.98860984,25.00619507,113900,10,0,19,5,1993
5/11/1993,25.0062172,25.11172867,24.93587623,25.11172867,42600,11,1,19,5,1993
5/12/1993,25.00620858,25.09413477,25.00620858,25.07654953,31000,12,2,19,5,1993
5/13/1993,24.97104463,24.97104463,24.76002172,24.77760696,129100,13,3,19,5,1993
5/14/1993,24.77759309,24.84793402,24.74242263,24.76000786,63500,14,4,19,5,1993
5/17/1993,24.83036474,24.84794998,24.72485327,24.84794998,34000,17,0,20,5,1993
5/18/1993,24.86553089,24.88311614,24.74243421,24.83036041,105200,18,1,20,5,1993
5/19/1993,24.83035818,25.34033012,24.67209102,25.34033012,50200,19,2,20,5,1993
5/20/1993,25.34033979,25.41068077,25.28758405,25.41068077,98200,20,3,20,5,1993
5/21/1993,25.42825549,25.46342597,25.16447691,25.18206215,221400,21,4,20,5,1993
5/24/1993,25.23483047,25.37551245,25.23483047,25.28758621,30500,24,0,21,5,1993
5/25/1993,25.39308584,25.39308584,25.34033012,25.34033012,191800,25,1,21,5,1993
5/26/1993,25.4106727,25.67445131,25.39308746,25.65686607,102400,26,2,21,5,1993
5/27/1993,25.69203589,25.69203589,25.53376873,25.56893921,53800,27,3,21,5,1993
5/28/1993,25.55134844,25.55134844,25.32274037,25.44583702,79100,28,4,21,5,1993
6/1/1993,25.53375525,25.77994848,25.49858478,25.69202232,28300,1,1,22,6,1993
6/2/1993,25.62169559,25.74479228,25.51618415,25.65686607,20300,2,2,22,6,1993
6/3/1993,25.60410969,25.60410969,25.51618349,25.56893921,21600,3,3,22,6,1993
6/4/1993,25.49859568,25.49859568,25.37549901,25.48101044,32000,4,4,22,6,1993
6/7/1993,25.53376164,25.53376164,25.39307976,25.39307976,121400,7,0,23,6,1993
6/8/1993,25.32276082,25.32276082,25.16449356,25.16449356,104500,8,1,23,6,1993
6/9/1993,25.25240707,25.35791852,25.21723659,25.25240707,43300,9,2,23,6,1993
6/10/1993,25.23482044,25.28757616,25.18206472,25.26999092,17900,10,3,23,6,1993
6/11/1993,25.35791639,25.41067211,25.26999019,25.37550163,647400,11,4,23,6,1993
6/14/1993,25.41067108,25.42825632,25.34033012,25.34033012,64200,14,0,24,6,1993
6/15/1993,25.37551245,25.3930977,25.28758621,25.28758621,142400,15,1,24,6,1993
6/16/1993,25.28757441,25.34033012,25.21723345,25.34033012,330900,16,2,24,6,1993
6/17/1993,25.3930846,25.42825508,25.34032889,25.42825508,37400,17,3,24,6,1993
6/18/1993,25.41367308,25.41367308,25.21886444,25.21886444,58500,18,4,24,6,1993
6/21/1993,25.28968824,25.28968824,25.23655865,25.27197838,29300,21,0,25,6,1993
6/22/1993,25.30741134,25.30741134,25.25428171,25.28970146,137500,22,1,25,6,1993
6/23/1993,25.28969756,25.28969756,25.05946922,25.05946922,227600,23,2,25,6,1993
6/24/1993,25.13029853,25.3959465,25.13029853,25.3959465,243700,24,3,25,6,1993
6/25/1993,25.37823296,25.44907241,25.36052309,25.37823296,44800,25,4,25,6,1993
6/28/1993,25.5022094,25.66159821,25.46678966,25.66159821,439900,28,0,26,6,1993
6/29/1993,25.62617751,25.62617751,25.50220844,25.53762817,207500,29,1,26,6,1993
6/30/1993,25.57304791,25.62617751,25.50220844,25.53762817,437600,30,2,26,6,1993
7/1/1993,25.57306186,25.57306186,25.43138284,25.4668026,605700,1,3,26,7,1993
7/2/1993,25.37824099,25.39595086,25.23656205,25.32511139,285400,2,4,26,7,1993
7/6/1993,25.28969756,25.36053705,25.02404948,25.05946922,246400,6,1,27,7,1993
7/7/1993,25.04174549,25.16571452,25.04174549,25.1302948,343700,7,2,27,7,1993
7/8/1993,25.14799882,25.46677627,25.11257911,25.4136467,248200,8,3,27,7,1993
7/9/1993,25.41366521,25.4845047,25.3605356,25.4845047,378200,9,4,27,7,1993
7/12/1993,25.44909272,25.48451247,25.41367297,25.4668026,373700,12,0,28,7,1993
7/13/1993,25.48450498,25.55534446,25.30740626,25.44908524,389600,13,1,28,7,1993
7/14/1993,25.46678871,25.60846764,25.44907884,25.53762817,617300,14,2,28,7,1993
7/15/1993,25.5199306,25.5199306,25.3782516,25.43138123,443800,15,3,28,7,1993
7/16/1993,25.44908019,25.46679006,25.32511112,25.36053085,216400,16,4,28,7,1993
7/19/1993,25.36055198,25.36055198,25.27200257,25.3428421,188200,19,0,29,7,1993
7/20/1993,25.32509741,25.4136467,25.2011284,25.4136467,68500,20,1,29,7,1993
7/21/1993,25.37823664,25.3959465,25.30739718,25.3959465,142700,21,2,29,7,1993
7/22/1993,25.36054345,25.39596321,25.21886444,25.21886444,632400,22,3,29,7,1993
7/23/1993,25.27200257,25.3428421,25.25429269,25.3428421,286200,23,4,29,7,1993
7/26/1993,25.41366521,25.53763431,25.41366521,25.4845047,121300,26,0,30,7,1993
7/27/1993,25.50222235,25.51993223,25.37825321,25.4668026,92800,27,1,30,7,1993
7/28/1993,25.4136467,25.46677627,25.37822698,25.4136467,30800,28,2,30,7,1993
7/29/1993,25.46679427,25.62618311,25.43137453,25.55534363,331000,29,3,30,7,1993
7/30/1993,25.55532556,25.55532556,25.37822698,25.4136467,75300,30,4,30,7,1993
8/2/1993,25.44908496,25.57305406,25.44908496,25.4845047,41300,2,0,31,8,1993
8/3/1993,25.53762653,25.608466,25.41365747,25.5022068,81600,3,1,31,8,1993
8/4/1993,25.5022068,25.5553364,25.43136734,25.5022068,434000,4,2,31,8,1993
8/5/1993,25.50221485,25.50221485,25.41366549,25.44908524,36800,5,3,31,8,1993
8/6/1993,25.51992444,25.53763431,25.44908496,25.4845047,402300,6,4,31,8,1993
8/9/1993,25.55533927,25.69701821,25.50220967,25.62617874,828200,9,0,32,8,1993
8/10/1993,25.60846901,25.62617888,25.57304927,25.60846901,604900,10,1,32,8,1993
8/11/1993,25.59075914,25.67930848,25.59075914,25.60846901,542200,11,2,32,8,1993
8/12/1993,25.67930711,25.67930711,25.44907884,25.53762817,303700,12,3,32,8,1993
8/13/1993,25.55533396,25.59075369,25.55533396,25.57304382,103500,13,4,32,8,1993
8/16/1993,25.59074125,25.78554966,25.59074125,25.71471024,241800,16,0,33,8,1993
8/17/1993,25.69703776,25.80329704,25.69703776,25.80329704,369300,17,1,33,8,1993
8/18/1993,25.89183003,25.99808925,25.87412016,25.94495964,414300,18,2,33,8,1993
8/19/1993,25.96266951,25.96266951,25.9095399,25.94495964,28500,19,3,33,8,1993
8/20/1993,25.89182419,25.96266365,25.87411432,25.96266365,80700,20,4,33,8,1993
8/23/1993,25.85639534,25.92723478,25.85639534,25.90952492,15600,23,0,34,8,1993
8/24/1993,25.90954365,26.19290161,25.90954365,26.19290161,273400,24,1,34,8,1993
8/25/1993,26.19290338,26.31687249,26.15748363,26.21061325,242300,25,2,34,8,1993
8/26/1993,26.22829628,26.36997513,26.12203715,26.22829628,120000,26,3,34,8,1993
8/27/1993,26.15748363,26.21061325,26.15748363,26.21061325,25700,27,4,34,8,1993
8/30/1993,26.22831847,26.35228757,26.22831847,26.31686783,183500,30,0,35,8,1993
8/31/1993,26.29915741,26.38770676,26.26373766,26.38770676,66500,31,1,35,8,1993
9/1/1993,26.29915007,26.40540926,26.29915007,26.35227966,136500,1,2,35,9,1993
9/2/1993,26.36999403,26.40541376,26.24602495,26.26373482,472400,2,3,35,9,1993
9/3/1993,26.24603053,26.31687002,26.21061078,26.28145027,630500,3,4,35,9,1993
9/7/1993,26.28143248,26.3168522,26.06891416,26.10433388,196400,7,1,36,9,1993
9/8/1993,26.10435557,26.10435557,25.83870745,26.0158062,269900,8,2,36,9,1993
9/9/1993,25.90954463,26.08664336,25.90954463,26.06893349,239200,9,3,36,9,1993
9/10/1993,26.13976357,26.31686224,26.10434384,26.29915237,106500,10,4,36,9,1993
9/13/1993,26.38770731,26.38770731,26.31686783,26.31686783,66900,13,0,37,9,1993
9/14/1993,26.246033,26.246033,26.12206388,26.21061325,184500,14,1,37,9,1993
9/15/1993,26.10435155,26.29916014,26.01580219,26.28145027,101000,15,2,37,9,1993
9/16/1993,26.24603328,26.26374316,26.15748391,26.17519379,54300,16,3,37,9,1993
9/17/1993,26.16007204,26.17789225,26.08879118,26.12443161,200900,17,4,37,9,1993
9/20/1993,26.16008375,26.21354441,25.91060066,25.91060066,57800,20,0,38,9,1993
9/21/1993,25.94623275,25.98187317,25.55418802,25.82149124,318200,21,1,38,9,1993
9/22/1993,25.91057315,26.07095496,25.87493275,26.03531456,439700,22,2,38,9,1993
9/23/1993,26.10662325,26.19572435,26.07098281,26.17790413,88500,23,3,38,9,1993
9/24/1993,26.1422555,26.16007571,26.07097464,26.10661507,53500,24,4,38,9,1993
9/27/1993,26.3026131,26.3917141,26.3026131,26.3917141,274600,27,0,39,9,1993
9/28/1993,26.40956633,26.40956633,26.32046523,26.33828545,158300,28,1,39,9,1993
9/29/1993,26.33826944,26.40955028,26.21352798,26.2491684,221000,29,2,39,9,1993
9/30/1993,26.24917368,26.30263432,26.1422524,26.19571304,99300,30,3,39,9,1993
10/1/1993,26.16007173,26.35609407,26.12443131,26.32045364,22700,1,4,39,10,1993
10/4/1993,26.3561039,26.3561039,26.28482302,26.3561039,1038500,4,0,40,10,1993
10/5/1993,26.40955471,26.40955471,26.23135258,26.32045364,436500,5,1,40,10,1993
10/6/1993,26.33827562,26.4451969,26.30263519,26.30263519,209200,6,2,40,10,1993
10/7/1993,26.3382827,26.3382827,26.21354117,26.23136139,59400,7,3,40,10,1993
10/8/1993,26.30262344,26.32044365,26.07096077,26.26698303,54400,8,4,40,10,1993
